timestamp,device,action,value
2025-04-07 09:00:00,valve1,on,60.0
2025-04-07 09:00:00,valve1,on,60.0
2025-04-07 09:00:00,valve2,on,60.0
2025-04-07 10:00:00,valve2,on,60.0
2025-04-07 11:00:00,valve2,on,60.0
2025-04-07 12:00:00,valve1,on,60.0
2025-04-07 12:00:00,valve1,on,60.0
2025-04-07 12:00:00,valve2,on,60.0
2025-04-07 13:00:00,valve2,on,60.0
2025-04-07 14:00:00,valve2,on,60.0
2025-04-07 15:00:00,valve1,on,60.0
2025-04-07 15:00:00,valve1,on,60.0
2025-04-07 15:00:00,valve2,on,60.0
2025-04-07 16:00:00,valve2,on,60.0
2025-04-07 17:00:00,valve2,on,60.0
2025-04-07 18:00:00,valve1,on,60.0
2025-04-07 18:00:00,valve1,on,60.0
2025-04-07 18:00:00,valve2,on,60.0
2025-04-07 19:00:00,valve2,on,60.0
2025-04-07 20:00:00,valve2,on,60.0
2025-04-07 21:00:00,valve1,on,60.0
2025-04-07 21:00:00,valve1,on,60.0
2025-04-07 21:00:00,valve2,on,60.0
2025-04-07 22:00:00,valve2,on,60.0
2025-04-07 23:00:00,valve2,on,60.0
2025-04-08 00:00:00,valve1,on,60.0
2025-04-08 00:00:00,valve1,on,60.0
2025-04-08 00:00:00,valve2,on,60.0
2025-04-08 00:00:00,valve1,on,60.0
2025-04-08 01:00:00,valve2,on,60.0
2025-04-08 02:00:00,valve2,on,60.0
2025-04-08 03:00:00,valve1,on,60.0
2025-04-08 03:00:00,valve1,on,60.0
2025-04-08 03:00:00,valve2,on,60.0
2025-04-08 03:00:00,valve1,on,60.0
2025-04-08 04:00:00,valve2,on,60.0
2025-04-08 05:00:00,valve2,on,60.0
2025-04-08 06:00:00,valve1,on,60.0
2025-04-08 06:00:00,valve1,on,60.0
2025-04-08 06:00:00,valve2,on,60.0
2025-04-08 06:00:00,valve1,on,60.0
2025-04-08 07:00:00,valve2,on,60.0
2025-04-08 08:00:00,valve2,on,60.0
2025-04-08 08:50:00,motor1,move,140.0
2025-04-08 08:50:00,motor1,move,140.0
2025-04-08 08:50:00,motor1,move,140.0
2025-04-08 09:00:00,valve1,on,60.0
2025-04-08 09:00:00,valve1,on,60.0
2025-04-08 09:00:00,valve1,on,60.0
2025-04-08 12:00:00,valve1,on,60.0
2025-04-08 12:00:00,valve1,on,60.0
2025-04-08 12:00:00,valve1,on,60.0
2025-04-08 15:00:00,valve1,on,60.0
2025-04-08 15:00:00,valve1,on,60.0
2025-04-08 15:00:00,valve1,on,60.0
2025-04-08 18:00:00,valve1,on,60.0
2025-04-08 18:00:00,valve1,on,60.0
2025-04-08 18:00:00,valve1,on,60.0
2025-04-08 21:00:00,valve1,on,60.0
2025-04-08 21:00:00,valve1,on,60.0
2025-04-08 21:00:00,valve1,on,60.0
2025-04-09 00:00:00,valve1,on,60.0
2025-04-09 00:00:00,valve1,on,60.0
2025-04-09 00:00:00,valve1,on,60.0
2025-04-09 03:00:00,valve1,on,60.0
2025-04-09 03:00:00,valve1,on,60.0
2025-04-09 03:00:00,valve1,on,60.0
2025-04-09 06:00:00,valve1,on,60.0
2025-04-09 06:00:00,valve1,on,60.0
2025-04-09 06:00:00,valve1,on,60.0
2025-04-09 08:50:00,motor1,move,140.0
2025-04-09 08:50:00,motor1,move,140.0
2025-04-09 08:50:00,motor1,move,140.0
2025-04-09 09:00:00,valve1,on,60.0
2025-04-09 09:00:00,valve1,on,60.0
2025-04-09 09:00:00,valve1,on,60.0
2025-04-09 12:00:00,valve1,on,60.0
2025-04-09 12:00:00,valve1,on,60.0
2025-04-09 12:00:00,valve1,on,60.0
2025-04-09 15:00:00,valve1,on,60.0
2025-04-09 15:00:00,valve1,on,60.0
2025-04-09 15:00:00,valve1,on,60.0
2025-04-09 18:00:00,valve1,on,60.0
2025-04-09 18:00:00,valve1,on,60.0
2025-04-09 18:00:00,valve1,on,60.0
2025-04-09 21:00:00,valve1,on,60.0
2025-04-09 21:00:00,valve1,on,60.0
2025-04-09 21:00:00,valve1,on,60.0
2025-04-10 00:00:00,valve1,on,60.0
2025-04-10 00:00:00,valve1,on,60.0
2025-04-10 00:00:00,valve1,on,60.0
2025-04-10 03:00:00,valve1,on,60.0
2025-04-10 03:00:00,valve1,on,60.0
2025-04-10 03:00:00,valve1,on,60.0
2025-04-10 06:00:00,valve1,on,60.0
2025-04-10 06:00:00,valve1,on,60.0
2025-04-10 06:00:00,valve1,on,60.0
2025-04-10 08:50:00,motor1,move,140.0
2025-04-10 08:50:00,motor1,move,140.0
2025-04-10 08:50:00,motor1,move,140.0
2025-04-10 09:00:00,valve1,on,60.0
2025-04-10 09:00:00,valve1,on,60.0
2025-04-10 09:00:00,valve1,on,60.0
2025-04-10 12:00:00,valve1,on,60.0
2025-04-10 12:00:00,valve1,on,60.0
2025-04-10 12:00:00,valve1,on,60.0
2025-04-10 15:00:00,valve1,on,60.0
2025-04-10 15:00:00,valve1,on,60.0
2025-04-10 15:00:00,valve1,on,60.0
2025-04-10 18:00:00,valve1,on,60.0
2025-04-10 18:00:00,valve1,on,60.0
2025-04-10 18:00:00,valve1,on,60.0
2025-04-10 21:00:00,valve1,on,60.0
2025-04-10 21:00:00,valve1,on,60.0
2025-04-10 21:00:00,valve1,on,60.0
2025-04-11 00:00:00,valve1,on,60.0
2025-04-11 00:00:00,valve1,on,60.0
2025-04-11 00:00:00,valve1,on,60.0
2025-04-11 03:00:00,valve1,on,60.0
2025-04-11 03:00:00,valve1,on,60.0
2025-04-11 03:00:00,valve1,on,60.0
2025-04-11 06:00:00,valve1,on,60.0
2025-04-11 06:00:00,valve1,on,60.0
2025-04-11 06:00:00,valve1,on,60.0
2025-04-11 08:50:00,motor1,move,140.0
2025-04-11 08:50:00,motor1,move,140.0
2025-04-11 08:50:00,motor1,move,140.0
2025-04-11 09:00:00,valve1,on,60.0
2025-04-11 09:00:00,valve1,on,60.0
2025-04-11 09:00:00,valve1,on,60.0
2025-04-11 12:00:00,valve1,on,60.0
2025-04-11 12:00:00,valve1,on,60.0
2025-04-11 12:00:00,valve1,on,60.0
2025-04-11 15:00:00,valve1,on,60.0
2025-04-11 15:00:00,valve1,on,60.0
2025-04-11 15:00:00,valve1,on,60.0
2025-04-11 18:00:00,valve1,on,60.0
2025-04-11 18:00:00,valve1,on,60.0
2025-04-11 18:00:00,valve1,on,60.0
2025-04-11 21:00:00,valve1,on,60.0
2025-04-11 21:00:00,valve1,on,60.0
2025-04-11 21:00:00,valve1,on,60.0
2025-04-12 00:00:00,valve1,on,60.0
2025-04-12 00:00:00,valve1,on,60.0
2025-04-12 00:00:00,valve1,on,60.0
2025-04-12 03:00:00,valve1,on,60.0
2025-04-12 03:00:00,valve1,on,60.0
2025-04-12 03:00:00,valve1,on,60.0
2025-04-12 06:00:00,valve1,on,60.0
2025-04-12 06:00:00,valve1,on,60.0
2025-04-12 06:00:00,valve1,on,60.0
2025-04-12 08:50:00,motor1,move,140.0
2025-04-12 08:50:00,motor1,move,140.0
2025-04-12 08:50:00,motor1,move,140.0
2025-04-12 09:00:00,valve1,on,60.0
2025-04-12 09:00:00,valve1,on,60.0
2025-04-12 09:00:00,valve1,on,60.0
2025-04-12 12:00:00,valve1,on,60.0
2025-04-12 12:00:00,valve1,on,60.0
2025-04-12 12:00:00,valve1,on,60.0
2025-04-12 15:00:00,valve1,on,60.0
2025-04-12 15:00:00,valve1,on,60.0
2025-04-12 15:00:00,valve1,on,60.0
2025-04-12 18:00:00,valve1,on,60.0
2025-04-12 18:00:00,valve1,on,60.0
2025-04-12 18:00:00,valve1,on,60.0
2025-04-12 21:00:00,valve1,on,60.0
2025-04-12 21:00:00,valve1,on,60.0
2025-04-12 21:00:00,valve1,on,60.0
2025-04-13 00:00:00,valve1,on,60.0
2025-04-13 00:00:00,valve1,on,60.0
2025-04-13 00:00:00,valve1,on,60.0
2025-04-13 03:00:00,valve1,on,60.0
2025-04-13 03:00:00,valve1,on,60.0
2025-04-13 03:00:00,valve1,on,60.0
2025-04-13 06:00:00,valve1,on,60.0
2025-04-13 06:00:00,valve1,on,60.0
2025-04-13 06:00:00,valve1,on,60.0
2025-04-13 08:50:00,motor1,move,140.0
2025-04-13 08:50:00,motor1,move,140.0
2025-04-13 08:50:00,motor1,move,140.0
2025-04-13 09:00:00,valve1,on,60.0
2025-04-13 09:00:00,valve1,on,60.0
2025-04-13 10:00:00,system,batch_complete,1.0
2025-04-13 12:00:00,valve1,on,60.0
2025-04-13 12:00:00,valve1,on,60.0
2025-04-13 15:00:00,valve1,on,60.0
2025-04-13 15:00:00,valve1,on,60.0
2025-04-13 18:00:00,valve1,on,60.0
2025-04-13 18:00:00,valve1,on,60.0
2025-04-13 21:00:00,valve1,on,60.0
2025-04-13 21:00:00,valve1,on,60.0
2025-04-14 00:00:00,valve1,on,60.0
2025-04-14 00:00:00,valve1,on,60.0
2025-04-14 03:00:00,valve1,on,60.0
2025-04-14 03:00:00,valve1,on,60.0
2025-04-14 06:00:00,valve1,on,60.0
2025-04-14 06:00:00,valve1,on,60.0
2025-04-14 08:50:00,motor1,move,140.0
2025-04-14 08:50:00,motor1,move,140.0
2025-04-14 09:00:00,valve1,on,60.0
2025-04-14 10:00:00,system,batch_complete,1.0
2025-04-14 12:00:00,valve1,on,60.0
2025-04-14 15:00:00,valve1,on,60.0
2025-04-14 18:00:00,valve1,on,60.0
2025-04-14 21:00:00,valve1,on,60.0
2025-04-15 00:00:00,valve1,on,60.0
2025-04-15 03:00:00,valve1,on,60.0
2025-04-15 06:00:00,valve1,on,60.0
2025-04-15 08:50:00,motor1,move,140.0
2025-04-15 10:00:00,system,batch_complete,1.0
